[2023-02-17 13:18:24 EST] iverilog '-Wall' design.sv testbench.sv  && unbuffer vvp a.out  
VCD info: dumpfile dump.vcd opened for output.
     0: a=0000, b=xxxx, s=xxxx, co=0
     1: a=0000, b=0000, s=0000, co=0
     2: a=0000, b=0001, s=0001, co=0
     3: a=0000, b=0010, s=0010, co=0
     4: a=0000, b=0011, s=0011, co=0
     5: a=0000, b=0100, s=0100, co=0
     6: a=0000, b=0101, s=0101, co=0
     7: a=0000, b=0110, s=0110, co=0
     8: a=0000, b=0111, s=0111, co=0
     9: a=0000, b=1000, s=1000, co=0
    10: a=0000, b=1001, s=1001, co=0
    11: a=0000, b=1010, s=1010, co=0
    12: a=0000, b=1011, s=1011, co=0
    13: a=0000, b=1100, s=1100, co=0
    14: a=0000, b=1101, s=1101, co=0
    15: a=0000, b=1110, s=1110, co=0
    16: a=0001, b=1111, s=0000, co=1
    17: a=0001, b=0000, s=0001, co=0
    18: a=0001, b=0001, s=0010, co=0
    19: a=0001, b=0010, s=0011, co=0
    20: a=0001, b=0011, s=0100, co=0
    21: a=0001, b=0100, s=0101, co=0
    22: a=0001, b=0101, s=0110, co=0
    23: a=0001, b=0110, s=0111, co=0
    24: a=0001, b=0111, s=1000, co=0
    25: a=0001, b=1000, s=1001, co=0
    26: a=0001, b=1001, s=1010, co=0
    27: a=0001, b=1010, s=1011, co=0
    28: a=0001, b=1011, s=1100, co=0
    29: a=0001, b=1100, s=1101, co=0
    30: a=0001, b=1101, s=1110, co=0
    31: a=0001, b=1110, s=1111, co=0
    32: a=0010, b=1111, s=0001, co=1
    33: a=0010, b=0000, s=0010, co=0
    34: a=0010, b=0001, s=0011, co=0
    35: a=0010, b=0010, s=0100, co=0
    36: a=0010, b=0011, s=0101, co=0
    37: a=0010, b=0100, s=0110, co=0
    38: a=0010, b=0101, s=0111, co=0
    39: a=0010, b=0110, s=1000, co=0
    40: a=0010, b=0111, s=1001, co=0
    41: a=0010, b=1000, s=1010, co=0
    42: a=0010, b=1001, s=1011, co=0
    43: a=0010, b=1010, s=1100, co=0
    44: a=0010, b=1011, s=1101, co=0
    45: a=0010, b=1100, s=1110, co=0
    46: a=0010, b=1101, s=1111, co=0
    47: a=0010, b=1110, s=0000, co=1
    48: a=0011, b=1111, s=0010, co=1
    49: a=0011, b=0000, s=0011, co=0
    50: a=0011, b=0001, s=0100, co=0
    51: a=0011, b=0010, s=0101, co=0
    52: a=0011, b=0011, s=0110, co=0
    53: a=0011, b=0100, s=0111, co=0
    54: a=0011, b=0101, s=1000, co=0
    55: a=0011, b=0110, s=1001, co=0
    56: a=0011, b=0111, s=1010, co=0
    57: a=0011, b=1000, s=1011, co=0
    58: a=0011, b=1001, s=1100, co=0
    59: a=0011, b=1010, s=1101, co=0
    60: a=0011, b=1011, s=1110, co=0
    61: a=0011, b=1100, s=1111, co=0
    62: a=0011, b=1101, s=0000, co=1
    63: a=0011, b=1110, s=0001, co=1
    64: a=0100, b=1111, s=0011, co=1
    65: a=0100, b=0000, s=0100, co=0
    66: a=0100, b=0001, s=0101, co=0
    67: a=0100, b=0010, s=0110, co=0
    68: a=0100, b=0011, s=0111, co=0
    69: a=0100, b=0100, s=1000, co=0
    70: a=0100, b=0101, s=1001, co=0
    71: a=0100, b=0110, s=1010, co=0
    72: a=0100, b=0111, s=1011, co=0
    73: a=0100, b=1000, s=1100, co=0
    74: a=0100, b=1001, s=1101, co=0
    75: a=0100, b=1010, s=1110, co=0
    76: a=0100, b=1011, s=1111, co=0
    77: a=0100, b=1100, s=0000, co=1
    78: a=0100, b=1101, s=0001, co=1
    79: a=0100, b=1110, s=0010, co=1
    80: a=0101, b=1111, s=0100, co=1
    81: a=0101, b=0000, s=0101, co=0
    82: a=0101, b=0001, s=0110, co=0
    83: a=0101, b=0010, s=0111, co=0
    84: a=0101, b=0011, s=1000, co=0
    85: a=0101, b=0100, s=1001, co=0
    86: a=0101, b=0101, s=1010, co=0
    87: a=0101, b=0110, s=1011, co=0
    88: a=0101, b=0111, s=1100, co=0
    89: a=0101, b=1000, s=1101, co=0
    90: a=0101, b=1001, s=1110, co=0
    91: a=0101, b=1010, s=1111, co=0
    92: a=0101, b=1011, s=0000, co=1
    93: a=0101, b=1100, s=0001, co=1
    94: a=0101, b=1101, s=0010, co=1
    95: a=0101, b=1110, s=0011, co=1
    96: a=0110, b=1111, s=0101, co=1
    97: a=0110, b=0000, s=0110, co=0
    98: a=0110, b=0001, s=0111, co=0
    99: a=0110, b=0010, s=1000, co=0
   100: a=0110, b=0011, s=1001, co=0
   101: a=0110, b=0100, s=1010, co=0
   102: a=0110, b=0101, s=1011, co=0
   103: a=0110, b=0110, s=1100, co=0
   104: a=0110, b=0111, s=1101, co=0
   105: a=0110, b=1000, s=1110, co=0
   106: a=0110, b=1001, s=1111, co=0
   107: a=0110, b=1010, s=0000, co=1
   108: a=0110, b=1011, s=0001, co=1
   109: a=0110, b=1100, s=0010, co=1
   110: a=0110, b=1101, s=0011, co=1
   111: a=0110, b=1110, s=0100, co=1
   112: a=0111, b=1111, s=0110, co=1
   113: a=0111, b=0000, s=0111, co=0
   114: a=0111, b=0001, s=1000, co=0
   115: a=0111, b=0010, s=1001, co=0
   116: a=0111, b=0011, s=1010, co=0
   117: a=0111, b=0100, s=1011, co=0
   118: a=0111, b=0101, s=1100, co=0
   119: a=0111, b=0110, s=1101, co=0
   120: a=0111, b=0111, s=1110, co=0
   121: a=0111, b=1000, s=1111, co=0
   122: a=0111, b=1001, s=0000, co=1
   123: a=0111, b=1010, s=0001, co=1
   124: a=0111, b=1011, s=0010, co=1
   125: a=0111, b=1100, s=0011, co=1
   126: a=0111, b=1101, s=0100, co=1
   127: a=0111, b=1110, s=0101, co=1
   128: a=1000, b=1111, s=0111, co=1
   129: a=1000, b=0000, s=1000, co=0
   130: a=1000, b=0001, s=1001, co=0
   131: a=1000, b=0010, s=1010, co=0
   132: a=1000, b=0011, s=1011, co=0
   133: a=1000, b=0100, s=1100, co=0
   134: a=1000, b=0101, s=1101, co=0
   135: a=1000, b=0110, s=1110, co=0
   136: a=1000, b=0111, s=1111, co=0
   137: a=1000, b=1000, s=0000, co=1
   138: a=1000, b=1001, s=0001, co=1
   139: a=1000, b=1010, s=0010, co=1
   140: a=1000, b=1011, s=0011, co=1
   141: a=1000, b=1100, s=0100, co=1
   142: a=1000, b=1101, s=0101, co=1
   143: a=1000, b=1110, s=0110, co=1
   144: a=1001, b=1111, s=1000, co=1
   145: a=1001, b=0000, s=1001, co=0
   146: a=1001, b=0001, s=1010, co=0
   147: a=1001, b=0010, s=1011, co=0
   148: a=1001, b=0011, s=1100, co=0
